Number of Attributes,Ref[4],Spider++ (Ours)
5,0.721854999937932,1.4383140005520545
10,1.0785699996631593,2.0986490017094184
15,1.5317960005631903,2.880125999581651
20,2.2503990003315266,3.6934899999323534
25,2.4636679991090205,4.225158001645468
30,3.0286859982879832,5.208710999795585
35,3.460124000412179,6.07107300129428
40,3.715299000759842,6.769238998458604
45,4.425392000484862,7.744382999590016
50,4.943207999531296,8.633749001091928
