Number of Attributes,Ref[4],Spider++ (Ours)
5,15.544044575017324,15.599290225100049
10,30.215660100202513,29.90817329996389
15,43.14114414996766,43.44866077503866
20,58.004022175282444,56.648493499915276
25,69.85498650001318,69.59043430001657
30,84.52882152523671,84.34889299983297
35,97.28604730007646,94.95404432477699
40,112.18970519989853,110.85984145006478
45,125.772614025027,124.01375987506071
50,140.17928852499608,136.69266834976952
