Number of Attributes,Ref[4],Spider++ (Ours)
5,56.13791461187302,47.955742992582714
10,68.01886542917838,57.715745222719775
15,79.23068075378691,67.75206674957853
20,91.63917167257833,78.41032240147509
25,103.44775423448343,89.00394814536534
30,116.9956909826672,100.17589836491123
35,128.8264380035009,110.63032797445717
40,142.43188729853745,121.6821618259108
45,154.78394807928663,133.245104554338
50,167.81500815317162,144.35733477470487
