Num_Enclaves,Round-Robin,Least-Queue,Spider++ (Ours)
2,98.86000000000001,98.86000000000001,98.92
4,97.24,97.34,97.46
8,50.98,44.04,63.79999999999999
16,6.720000000000001,3.1399999999999997,2.96
24,5.840000000000002,3.7,3.3600000000000003
32,6.88,7.160000000000001,6.58
