Scheme,Verify (ms),Decrypt (ms),Policy Eval (ms),Total (ms)
Spider++ (Ours),6.297832995187491,2.2942920040804893,0.07674998778384179,10.017541004344821
Ref[4],0.08295899897348136,1.3908749970141798,0.0,1.4921669935574755
Ref[35],6.84312499652151,2.405892006936483,0.0,30.948540996178053
Ref[36],0.0,1.0153497001738288,0.0,10.179333999985829
