Contention_Per_Unit_ms,Round-Robin,Least-Queue,Spider++ (Ours)
0.0,1664.647860815671,1533.4151363471972,1570.7525835333286
0.25,2257.951045431126,2022.083668747855,2122.979247399559
0.5,2934.3991216731247,2660.912206815614,2639.416372581858
0.75,3677.8296561815027,3329.9469833828853,3431.8388716236996
1.0,4476.104015053472,4072.2170041856048,4178.861684293077
1.13,4908.473912273695,4550.253724354684,4616.73343057879
1.5,6270.457022265747,5892.100118921715,5994.9222619995935
2.0,8080.028026489466,7856.923853114406,7914.6752976405505
3.0,12502.125699780645,12124.135013244411,12547.279316125534
