Num_Enclaves,Round-Robin,Least-Queue,Spider++ (Ours)
2,98.4,98.53333333333333,98.33333333333333
4,96.26666666666668,96.73333333333335,96.33333333333334
6,91.8,92.53333333333332,91.99999999999999
8,77.06666666666666,88.46666666666667,88.86666666666667
10,50.33333333333333,52.93333333333334,53.86666666666666
12,16.6,1.6666666666666667,1.5333333333333337
