Scheme,Phase1 Init (ms),Phase2 Enc (ms),Phase5 Fog (ms),Phase6 Dec (ms),Core Total (ms)
Spider++ (Ours),132.5101660040673,1.5634914991096593,42.48462499526795,11.028542008716613,187.5868245071615
Ref[4],47.85904099117033,0.40934580174507573,37.66316700784955,1.4077500090934336,87.3393038098584
Ref[35],56.45412500598468,1.5938329001073726,56.286459002876654,28.94416599883698,143.27858290780568
Ref[36],9.388042002683505,1.8094208993716165,0.011832991731353104,9.492417011642829,20.701712905429304
