Number of Fog Nodes,Ref[22],Ref[37],Ref[39],Spider++ (Ours)
2,585.6119079988797,586.5962639543188,576.0042394149511,591.2706170265608
4,245.62601540279496,239.77546521225747,240.32902455139677,214.34456149421516
6,245.62601540279496,239.77546521225747,240.32902455139677,214.34456149421516
8,245.62601540279496,239.77546521225747,240.32902455139677,214.34456149421516
10,238.29350191758735,239.77546521225747,240.32902455139677,187.36458087610796
12,238.29350191758735,239.77546521225747,240.32902455139677,187.36458087610796
