Speed Spread (max/min rate ratio),Round-Robin,Least-Queue,Spider++ (Ours)
1.0,7096.804745327351,7052.70216970903,7123.891845597354
1.5,9404.246883805405,9406.507045974135,9298.489137202865
2.0,11518.189029241643,11163.084621393398,11077.272327572513
2.5,13117.614093519107,12520.597585424908,12112.998177520589
3.0,14734.427752749532,13732.398874258626,13054.48281577216
4.0,17659.140952597947,15611.975383347268,14546.617997953264
5.0,19057.890840546137,16749.370873049997,15278.193928599158
