Number of Fog Nodes,Ref[22],Ref[37],Ref[39],Spider++ (Ours)
2,835.9529142064582,826.6781732400649,836.1846734371909,835.2150626207871
4,229.6171446253906,235.28758741274484,235.4088535946717,234.09518799815177
6,70.72785414398265,71.05557176500768,69.69196360469014,70.11031211745122
8,65.66623964526033,66.91141875899504,67.15326844566476,65.78278951686617
10,65.28907008580927,63.99246946975342,65.71305675816151,64.51250452601376
12,64.30103640227716,63.54290669070683,64.42589137504127,64.51250452601376
