idx,Spider++ (Ours),Ref[22],Ref[37],Ref[39]
0,0.022083,0.019084,0.032333,0.402625
1,0.013958,0.007916,0.017291,0.332792
2,0.013541,0.007459,0.016334,0.329250
3,0.013250,0.007209,0.015833,0.420333
4,0.013208,0.007250,0.015709,0.359584
5,0.013375,0.007084,0.015916,0.346459
6,0.012959,0.007167,0.015875,0.327458
7,0.012875,0.006875,0.015917,0.446834
8,0.013250,0.006875,0.015917,0.341542
9,0.013375,0.007500,0.015833,0.315792
