Number of Fog Nodes,Ref[22],Ref[37],Ref[39],Spider (Ours)
6,73.09879049890813,51.29519742853326,50.65503080468369,48.81710414597381
8,51.98283316802101,49.21164481513351,48.374956148056114,44.115657027068565
10,69.15112718119909,62.50497636871944,59.55020242819819,55.5062170720438
12,47.70579433428556,51.17336428478813,48.06969637855609,41.55276218317332
14,54.93829944807513,52.4877447640817,50.29722756823358,42.863693222578036
