Number of Tasks,No Cache-Aware Scheduling,Random Cache Placement,Spider (Ours)
100,21.79197223355924,20.25275482224101,19.203730035389018
200,25.085941915038916,21.16784710762925,18.079386415813754
300,72.22562189144853,31.99949684295015,20.358105532187263
400,236.45660157474722,223.0521542359276,127.42733736855104
500,403.47200334423417,349.7967178980967,219.15025946447662
600,611.1804676344572,501.6239657284116,345.9118963056632
700,637.4794770025803,519.468884725894,359.6354488413252
800,844.1608687656262,715.3237527225642,601.2183813107515
900,973.9862722558448,822.248727007725,637.209378462636
1000,1197.1889819122944,942.0714709722434,763.5360248316101
1100,1195.8946074214828,1025.9473143198181,800.9994329852861
1200,1474.550489178381,1173.5386270788078,944.6710954787957
1300,1554.907003610836,1178.250141230606,950.533321972693
1400,1715.9426965888895,1388.222889615612,1109.8814010867557
1500,1934.599285159159,1689.243759354608,1321.9185520811757
1600,2251.4895802112705,1850.8491419795369,1520.8813982492097
1700,2134.434574915465,1784.9961942006987,1391.1299654912789
1800,2345.667031782857,2000.7932261218994,1661.1846445990313
1900,2572.02522912682,2085.422822520298,1808.1321228142235
2000,2772.6709646689483,2204.4373467908163,1812.217738025656
