Contention_Per_Unit_ms,Round-Robin,Least-Queue,Spider (Ours)
0.0,4912.496092778778,4876.328287401004,4872.247914552875
0.25,6401.56698047076,6327.274387858238,6354.589977983353
0.5,7947.58020701597,7824.827573102637,7890.606327576452
0.75,9543.764546119139,9379.421774395818,9469.949084770331
1.0,11176.213595598132,10965.149770924787,11093.577387711242
1.13,12041.936668643135,11825.635593150213,11952.194730262769
1.5,14533.70190893558,14253.329582789778,14416.886379234777
2.0,18009.477198373286,17609.609760714462,17834.405063164424
3.0,25135.1184910167,24587.407446946207,24881.937074349138
