Number of Tasks,No Cache-Aware Scheduling,Random Cache Placement,Spider (Ours)
100,0.0,0.24,0.35
200,0.0,0.255,0.395
300,0.0,0.30333333333333334,0.44666666666666666
400,0.0,0.2575,0.41
500,0.0,0.284,0.448
600,0.0,0.2866666666666667,0.4066666666666667
700,0.0,0.2814285714285714,0.44571428571428573
800,0.0,0.29875,0.4325
900,0.0,0.27555555555555555,0.4288888888888889
1000,0.0,0.312,0.421
1100,0.0,0.2672727272727273,0.41454545454545455
1200,0.0,0.29583333333333334,0.445
1300,0.0,0.29923076923076924,0.45384615384615384
1400,0.0,0.2885714285714286,0.43857142857142856
1500,0.0,0.2886666666666667,0.4146666666666667
1600,0.0,0.300625,0.433125
1700,0.0,0.2852941176470588,0.43941176470588234
1800,0.0,0.3016666666666667,0.4288888888888889
1900,0.0,0.29578947368421055,0.41789473684210526
2000,0.0,0.2855,0.427
