Scheme,Avg Decision Latency (ms),Std (ms)
Spider++ (Ours),0.01326660712948069,0.002335720205428711
Ref[22],0.007841704064048827,0.0031057566937290016
Ref[37],0.016083398077171296,0.003994236052435041
Ref[39],0.3463293018285185,0.030729717467606187
