Number of Attributes,Ref[4],Spider (Ours)
5,0.4218999997647188,0.8892000000741973
10,0.7483999997930368,1.4221999999790569
15,1.070899999831454,1.9834999998238345
20,1.412499999787542,2.5974999998652493
25,1.70029999981125,3.250199999911274
30,2.050000000053842,3.721999999925174
35,2.3729999998067797,4.4200000002092565
40,2.7396000000408094,4.820000000108848
45,2.9886000002079527,5.467500000122527
50,3.333899999688583,6.064600000172504
