Number of Attributes,Ref[4],Spider (Ours)
5,13.138222499856056,12.590037499899154
10,23.6237500000243,23.364917499998228
15,34.97697499994956,34.659049999822855
20,46.67395249996389,46.420554999963315
25,58.38705250002931,57.35519750003277
30,69.47181749999345,68.77235500010102
35,81.61627249999128,80.43855750001967
40,92.34777749993555,92.12168250003288
45,105.14412500006074,103.71768749987496
50,117.3520874998303,114.99145999996472
