Contention_Per_Unit_ms,Round-Robin,Least-Queue,Spider++ (Ours)
0.0,3641.624050811518,3605.6950836791316,3614.6173118532606
0.25,4983.546000335253,4904.874449884232,4943.569009204894
0.5,6414.385175733781,6299.624639099015,6362.376418638794
0.75,7905.15428373315,7739.8815516415925,7837.475582997219
1.0,9447.443409738738,9252.458739491083,9366.62849363888
1.13,10272.183245586206,10072.191203059188,10189.668939124902
1.5,12651.432844526833,12389.605436184858,12566.498830996105
2.0,15994.333285711362,15637.698872489245,15846.81077640586
3.0,22952.520627775863,22418.880198359526,22689.31629331201
