Offered Load,Spider-FogOnly,Spider-Heuristic,Spider-EnclaveAware
0.3,308.23169825518005,232.54181383852165,207.80862477138623
0.5,332.4557999351563,237.17422907306528,222.39499748169925
0.7,365.291927784899,222.64866573977167,216.8096411913683
0.85,498.9954306371856,244.7157098193609,226.69941584159957
1.0,1011.6333961002402,253.46037435978778,234.3828565063962
1.2,1491.836209895044,259.5522346701845,237.18257470100315
