Number of Attributes,Ref[4],Spider (Ours)
5,47.872356450008624,50.19523802500885
10,93.57097377501304,93.32967414999302
15,132.83429269998805,140.3455924500065
20,176.6544326750079,184.52476437498717
25,243.85358765001115,233.37808335001
30,274.0963682749964,276.0459333999961
35,334.7545438250165,341.50653249999436
40,393.0606386750014,380.58983869998997
45,419.8430886250094,433.0180541500056
50,479.3097893250035,466.65525212500825
