Scheme,Encap/Enc (ms),Sym Enc (ms),MAC/Chaos (ms),KDF/Hash (ms),Total (ms)
Spider++ (Ours),1.6225290019065142,0.008970900671556592,0.004362600157037377,0.0019790968508459628,1.6386457995395176
Ref[4],0.23684159968979657,0.01248339976882562,0.09811259660637006,0.002133200177922845,0.3503708023345098
Ref[35],1.6044207965023816,0.011245798668824136,0.0,0.0,1.6163291002158076
Ref[36],1.8121127010090277,0.12897910055471584,0.004479098424781114,0.0,1.9464790006168187
