Num_Enclaves,Round-Robin,Least-Queue,Spider (Ours)
2,98.92000000000002,98.94000000000003,98.92
4,97.72,97.96000000000001,98.07999999999998
8,72.44000000000001,87.32000000000001,89.06
16,9.26,3.84,3.9799999999999995
24,5.840000000000002,4.08,3.8600000000000003
32,6.88,6.960000000000001,6.720000000000001
