Scheme,Crypto Ops (ms),Sign/Verify (ms),CP-ABE/Policy (ms),Total (ms)
Spider++ (Ours),24.7253750130767,32.18183400167618,3.8908749993424863,60.891417000675574
Ref[4],8.58391699148342,16.093792000901885,0.3480429877527058,25.190166998072527
Ref[35],4.35845420579426,34.887625006376766,0.0,61.064624998834915
Ref[36],0.0012041986337862909,0.0,0.0,0.01329201040789485
