Number of Attributes,Ref[4],Spider++ (Ours)
5,77.29452404969379,35.29968567495416
10,148.66952817492347,170.4150840499551
15,221.53856557511062,280.09101792472393
20,407.27349467515523,274.64158617503927
25,407.484229649981,351.87518150009964
30,403.3392384500985,335.319644125002
35,509.6472820249346,488.154621250078
40,472.32046502476805,618.9232597248974
45,689.8948304250553,481.13018342501164
50,629.9114009751065,613.0202307999753
